DOI,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
10.1002-14651858.CD013876.pub3,19,2,17,20,59,36
10.1002-14651858.CD013877.pub3,17,4,19,20,95,51
10.1002-14651858.CD011117.pub3,9,1,24,16,94,67
10.1002-14651858.CD013483.pub2,17,9,36,19,122,32
10.1002-14651858.CD002204.pub5,18,2,13,11,50,16
10.1002-14651858.CD012337.pub2,39,2,48,25,90,61
10.1002-14651858.CD002202.pub3,29,3,67,19,131,45
10.1002-14651858.CD009379.pub3,24,4,32,13,117,46
10.1002-14651858.CD014615,14,6,43,15,89,46
10.1002-14651858.CD013608.pub2,27,3,51,13,94,36
10.1002-14651858.CD014383.pub2,14,7,21,20,89,27
10.1002-14651858.CD007697.pub3,29,6,44,16,103,28
10.1002-14651858.CD011677.pub3,12,5,37,15,99,43
10.1002-14651858.CD006034.pub3,21,12,47,15,111,68
10.1002-14651858.CD012476.pub2,26,4,43,26,145,38
10.1002-14651858.CD013845.pub2,29,5,42,25,100,36
10.1002-14651858.CD013751.pub2,9,2,26,5,63,38
10.1002-14651858.CD006895.pub4,12,14,38,20,100,28
10.1002-14651858.CD010459.pub3,11,6,22,21,103,31
10.1002-14651858.CD012396.pub2,29,4,36,20,95,59
10.1002-14651858.CD013826.pub2,19,6,30,19,94,40
10.1002-14651858.CD013368.pub2,29,9,41,29,104,36
10.1002-14651858.CD005259.pub5,19,6,37,26,100,37
10.1002-14651858.CD013485.pub2,22,7,29,14,140,63
10.1002-14651858.CD015196.pub2,17,3,28,23,80,36
10.1002-14651858.CD010260.pub3,22,2,42,25,100,27
10.1002-14651858.CD013515.pub2,31,8,41,23,128,56
10.1002-14651858.CD014978.pub2,17,0,42,14,121,54
10.1002-14651858.CD015207,24,4,50,17,131,42
10.1002-14651858.CD015021,16,1,33,17,73,22
10.1002-14651858.CD002768.pub5,20,4,39,13,132,35
10.1002-14651858.CD003919.pub3,28,4,28,24,108,35
10.1002-14651858.CD006764.pub4,27,6,52,25,121,48
10.1002-14651858.CD013083.pub2,27,7,49,20,121,59
10.1002-14651858.CD014936.pub2,15,4,29,45,106,40
10.1002-14651858.CD010738.pub2,34,5,36,20,107,35
10.1002-14651858.CD011887.pub3,9,5,17,7,53,36
10.1002-14651858.CD015270,30,6,35,23,83,28
10.1002-14651858.CD013829.pub2,24,0,27,13,114,32
10.1002-14651858.CD000160.pub4,4,7,36,8,79,21
10.1002-14651858.CD008319.pub4,24,6,31,13,96,43
10.1002-14651858.CD008295.pub6,18,5,28,23,99,33
10.1002-14651858.CD011819.pub2,23,1,21,13,123,47
10.1002-14651858.CD003186.pub4,17,1,51,13,89,43
10.1002-14651858.CD012595.pub4,16,3,28,27,102,53
10.1002-14651858.CD011964.pub2,18,4,52,8,125,19
10.1002-14651858.CD012369.pub2,16,10,30,19,102,49
10.1002-14651858.CD013080.pub2,7,3,41,19,88,30
10.1002-14651858.CD008080.pub2,25,16,27,22,104,48
10.1002-14651858.CD013705.pub3,41,10,42,26,144,45
10.1002-14651858.CD013690.pub2,12,4,23,15,130,49
