DOI,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
10.1002-14651858.CD013876.pub3,32,9,26,47,79,27
10.1002-14651858.CD013877.pub3,23,8,15,42,61,16
10.1002-14651858.CD011117.pub3,26,8,19,20,83,42
10.1002-14651858.CD013483.pub2,27,19,21,31,100,16
10.1002-14651858.CD002204.pub5,8,4,4,14,34,9
10.1002-14651858.CD012337.pub2,34,13,34,38,87,44
10.1002-14651858.CD002202.pub3,30,7,38,22,102,20
10.1002-14651858.CD009379.pub3,24,10,26,36,116,27
10.1002-14651858.CD014615,26,9,34,22,72,16
10.1002-14651858.CD013608.pub2,12,3,16,11,34,8
10.1002-14651858.CD014383.pub2,22,4,14,31,80,13
10.1002-14651858.CD007697.pub3,26,8,21,18,74,10
10.1002-14651858.CD011677.pub3,12,2,31,28,70,29
10.1002-14651858.CD006034.pub3,11,17,22,12,65,32
10.1002-14651858.CD012476.pub2,37,6,43,30,129,22
10.1002-14651858.CD013845.pub2,16,4,29,19,61,24
10.1002-14651858.CD013751.pub2,12,2,11,11,31,6
10.1002-14651858.CD006895.pub4,25,8,29,19,101,18
10.1002-14651858.CD010459.pub3,23,7,23,21,81,39
10.1002-14651858.CD012396.pub2,16,5,27,10,63,36
10.1002-14651858.CD013826.pub2,17,5,29,39,76,32
10.1002-14651858.CD013368.pub2,24,10,33,30,99,30
10.1002-14651858.CD005259.pub5,18,7,22,39,72,24
10.1002-14651858.CD013485.pub2,26,16,41,25,129,41
10.1002-14651858.CD015196.pub2,25,8,24,34,78,15
10.1002-14651858.CD010260.pub3,17,1,14,20,74,16
10.1002-14651858.CD013515.pub2,30,10,28,50,89,31
10.1002-14651858.CD014978.pub2,26,10,38,20,90,21
10.1002-14651858.CD015207,32,10,32,32,126,13
10.1002-14651858.CD015021,15,3,25,27,56,15
10.1002-14651858.CD002768.pub5,18,10,27,25,120,27
10.1002-14651858.CD003919.pub3,26,6,12,17,67,15
10.1002-14651858.CD006764.pub4,34,10,36,58,104,37
10.1002-14651858.CD013083.pub2,24,13,28,32,95,24
